System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
Northwest Florida Healthcare,Northwest Florida Community Hospital-Florida,0.1773913043,0.1235632184,30.615764,-85.568582,No Different than the National Rate,68,Not Available,Not Available,No Different than the National Rate,3.26E-02,51560.05197,607,4374084,2567194,487775,5722299,8963169,10759559,6942502,3032085
No Known Affiliation,Northwest Hills Surgical Hospital-Texas,1.85E-03,3.42E-03,30.346171,-97.767733,No Different than the National Rate,76,92,Not Available,No Different than the National Rate,0.1282863782,90829.43523,456,17582991,11152077,8561232,4577207,-378172,5989629,-2685588,3730143
No Known Affiliation,Northwest Medical Center - Albany Mo-Missouri,0.337,0.1561181435,40.260665,-94.327824,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,-1.98E-02,48048.11498,457,3221789,1951966,420255,11476528,7036438,11596091,9198196,-4108687
HCA,Northwest Medical Center-Florida,0.206365295,0.1864749082,26.250404,-80.208684,No Different than the National Rate,65,85,No Different than National Benchmark,No Different than the National Rate,1.90E-02,69846.31724,17953,166324349,98559684,31655673,5846339,4060619,5846339,82053181,44385656
HPI Health,Northwest Surgical Hospital-Oklahoma,3.03E-03,5.33E-03,35.578954,-97.57416,No Different than the National Rate,83,Not Available,Not Available,No Different than the National Rate,6.00E-02,77871.59913,407,9781759,6222627,4428284,2721268,4604287,2721268,9066092,8672680
Universal Health Services Inc.,Northwest Texas Healthcare System-Texas,0.3877286323,0.3866109771,35.201314,-101.893734,No Different than the National Rate,70,89,No Different than National Benchmark,No Different than the National Rate,2.48E-02,67646.96929,19760,252172036,164577364,81269814,35012069,81744813,114931713,52443528,43847773
Norton Healthcare,Norton Audubon Hospital-Kentucky,0.1594582025,9.66E-02,38.216867,-85.736941,No Different than the National Rate,73,88,No Different than National Benchmark,No Different than the National Rate,3.83E-02,58120.47324,15059,196388784,111363524,35769742,120159373,265779336,120159373,1596572294,196654660
Norton Healthcare,Norton Brownsboro Hospital-Kentucky,6.28E-02,5.24E-02,38.304392,-85.578537,No Different than the National Rate,73,88,No Different than National Benchmark,No Different than the National Rate,5.80E-02,79191.08948,9733,155094554,89490582,41724718,120159373,265779336,120159373,1596572294,196654660
Mountain States Health Alliance,Norton Community Hospital-Virginia,0.3064392975,0.2140672783,36.957034,-82.641875,No Different than the National Rate,73,89,Not Available,No Different than the National Rate,-9.07E-03,52721.76308,3343,27139361,14969323,1461596,7887896,19170448,36912621,56887551,13005022
No Known Affiliation,Norton County Hospital-Kansas,0.4463087248,0.2771084337,39.855966,-99.950751,No Different than the National Rate,68,Not Available,Not Available,No Different than the National Rate,-2.35E-02,52447.50064,363,2179078,1329210,295717,5895181,8799759,7849470,8596389,377900
Norton Healthcare,Norton Suburban Hospital-Kentucky,0.1616767076,0.2301571962,38.265238,-85.657784,,,,,,5.39E-02,77357.82119,21457,202937675,127539859,53786253,,,,,
No Known Affiliation,Norwalk Community Hospital-California,9.90E-03,1.49E-03,33.906985,-118.082924,,,,,,-1.20E-02,64579.25483,2846,26638045,13129081,-952493,,,,,
Novant,Novant Health Haymarket Medical Center-Virginia,9.38E-02,9.13E-02,38.870159,-77.644733,No Different than the National Rate,84,91,Not Available,No Different than the National Rate,0.1233890333,125142.89,2913,28586963,18188591,8149964,-118775,12096702,156480,100389360,17304035
Novant,Novant Health Prince William Medical Center-Virginia,0.343217111,0.2261346747,38.747006,-77.488936,No Different than the National Rate,65,86,No Different than National Benchmark,No Different than the National Rate,0.1271270154,131427.5346,8004,73084181,45525306,17431893,-11349445,53526950,-9762089,25188681,-169941
Sutter Health,Novato Community Hospital-California,0.1532749934,6.66E-02,38.128877,-122.555933,No Different than the National Rate,84,92,Not Available,No Different than the National Rate,3.30E-02,127967.9121,1645,17775867,10029430,3076624,4078671,11681397,20563825,30779374,1202938
Norman Regional Health System,Nrhs Norman Healthplex-Oklahoma,0.2108297601,0.2564420437,35.210762,-97.499732,No Different than the National Rate,73,89,No Different than National Benchmark,No Different than the National Rate,6.57E-02,72768.56229,9784,101311083,62296104,27612163,49016840,268085987,244456597,266466421,55153009
Daughters of Charity Health System,O'Connor Hospital-California,0.1186229247,9.09E-02,37.315789,-121.935941,No Different than the National Rate,69,87,No Different than National Benchmark,No Different than the National Rate,1.25E-02,120897.9833,12579,111951974,66141030,22201025,139279925,84084254,243708910,-118502699,-22717611
HCA,Oak Hill Hospital-Florida,0.4310392292,0.2920969023,28.558378,-82.528484,No Different than the National Rate,69,88,No Different than National Benchmark,No Different than the National Rate,9.62E-02,52223.24164,17168,170787655,93226587,21272446,14653453,31434151,-179930045,297185168,50247029
Dignity Health,Oak Valley Hospital District-California,0.1458966565,4.30E-02,37.785245,-120.782784,No Different than the National Rate,68,86,No Different than National Benchmark,No Different than the National Rate,8.30E-02,82895.90718,1184,9917425,5713853,923371,9942603,18410458,74964603,55676964,7180543
No Known Affiliation,Oakbend Medical Center - William Way Campus-Texas,4.21E-02,1.73E-02,29.482448,-95.684096,No Different than the National Rate,65,86,Not Available,No Different than the National Rate,9.89E-02,99407.63007,3351,16788509,8712493,-18805,39175900,86194944,113733359,28096159,18539950
No Known Affiliation,Oakbend Medical Center-Texas,0.1319371728,5.98E-02,29.482448,-95.684096,No Different than the National Rate,65,86,Not Available,No Different than the National Rate,8.23E-02,104982.631,3616,34774504,19967512,4490831,39175900,86194944,113733359,28096159,18539950
Progressive Acute Care,Oakdale Community Hospital-Louisiana,0.3020763563,0.1153846154,30.803467,-92.69081,No Different than the National Rate,81,Not Available,Not Available,No Different than the National Rate,-1.20E-02,44499.09392,721,4739651,2567480,87872,5728169,2950700,-251206,6200125,811856
HCA,Ocala Regional Medical Center-Florida,0.2162838601,0.1470459519,29.154667,-82.2137,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,0.1006967932,55466.52068,13544,203934462,112588320,40829709,22503567,58386330,-71272351,215033161,63492313
Oceans Healthcare,Oceans Behavioral Hospital Abilene-Texas,5.19E-03,4.06E-04,32.351817,-99.828758,,,,,,8.30E-03,61706.82696,792,2670398,1183167,-1376243,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of Fort Worth-Texas,3.69E-03,0,32.667546,-97.417955,,,,,,8.92E-02,86005.51253,1011,2295092,689060,-2468213,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of Katy-Texas,2.25E-03,1.30E-04,29.743825,-95.740339,,,,,,9.21E-02,94545.60609,995,3632666,1644277,-1747880,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of Longview-Texas,3.20E-03,1.57E-04,32.58207,-94.720973,,,,,,2.22E-02,66567.19781,699,2899175,1418576,-1008712,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of Lufkin-Texas,2.81E-03,9.44E-04,31.338632,-94.807422,,,,,,2.18E-02,60658.21767,462,2656982,1411357,-509938,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of Plano-Texas,1.96E-03,1.66E-04,33.021961,-96.73951,,,,,,6.91E-02,101592.8388,716,3120174,1520035,-1093897,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of San Marcos-Texas,1.47E-03,2.44E-04,29.886882,-97.98601,,,,,,9.29E-02,83693.54488,384,2314452,1260993,-304890,,,,,
Oceans Healthcare,Oceans Behavioral Hospital Of The Permian Basin-Texas,1.34E-02,5.60E-04,31.835153,-102.00457,,,,,,1.95E-02,93097.08399,1899,5854764,2328223,-3764523,,,,,
No Known Affiliation,Ochiltree General Hospital-Texas,0.4151459854,0.4664246824,36.278421,-100.815628,Not Available,Not Available,Not Available,Not Available,Not Available,3.62E-02,74528.53145,620,3886496,2591541,1034935,20125820,26533355,20125820,19361726,1983359
Ochsner Health System,Ochsner Baptist Medical Center-Louisiana,8.67E-02,0.1390224807,29.924533,-90.101703,,,,,,-1.65E-02,68487.81305,9849,87327555,53331461,20067541,,,,,
Ochsner Health System,Ochsner Medical Center - Baton Rouge-Louisiana,0.103037593,6.14E-02,30.428654,-91.021272,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,2.28E-02,78294.14957,8315,81271891,47386781,14201851,9204599,107287822,9801268,116430716,65963674
Ochsner Health System,Ochsner Medical Center - Kenner-Louisiana,0.1392408336,8.87E-02,30.026814,-90.254418,No Different than the National Rate,68,88,No Different than National Benchmark,No Different than the National Rate,-1.01E-02,74111.7121,7250,70209365,39709424,10269213,6101501,24807594,-6044893,42211498,39548961
Ochsner Health System,Ochsner Medical Center - New Orleans-Louisiana,0.103231659,0.1076419068,29.960435,-90.158803,No Different than the National Rate,75,88,No Different than National Benchmark,No Different than the National Rate,7.83E-04,68417.70646,26520,521712692,293912656,128069537,209882444,600127021,-201445590,882951887,349851523
Ochsner Health System,Ochsner Medical Center - West Bank-Louisiana,0.2465753425,0.1751111111,29.888651,-90.030199,No Different than the National Rate,68,88,No Different than National Benchmark,No Different than the National Rate,-2.21E-02,62958.68695,7919,69543861,39124167,8276159,6101501,24807594,-6044893,42211498,39548961
Ochsner Health System,Ochsner Medical Center-Northshore-Louisiana,0.2103101631,0.1378091873,30.240602,-89.678936,No Different than the National Rate,70,88,No Different than National Benchmark,No Different than the National Rate,1.05E-02,69090.0835,4680,52417847,30166652,8478265,691029,21502468,925474,27448928,18084493
Ochsner Health System,Ochsner St Anne General-Louisiana,7.89E-02,0.06703146375,29.721345,-90.553809,No Different than the National Rate,85,94,Not Available,No Different than the National Rate,4.36E-03,59728.4584,1820,10100157,5955366,589050,2101218,13369395,19753913,909411,2560221
No Known Affiliation,Oconee Memorial-South Carolina,0.568461263,0.4997084548,34.749729,-82.942461,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,5.69E-02,60080.47284,6539,57895427,33120218,8629486,1736492,18999038,5119218,63613422,1812217
Navicent Health,Oconee Regional Medical Center Inc.-Georgia,0.3019700088,0.2669117647,33.078871,-83.241577,No Different than the National Rate,68,90,Not Available,No Different than the National Rate,5.17E-02,59050.77534,3031,24204228,13605770,2829361,12482080,10694916,34317610,7977788,-972425
No Known Affiliation,Odessa Regional Medical Center-Texas,0.1805534181,0.1774829416,31.856909,-102.346791,No Different than the National Rate,72,88,No Different than National Benchmark,No Different than the National Rate,1.40E-02,89210.76358,7951,86066723,56874174,26514941,9970260,61718163,69574693,174684704,44905846
HCA,Ogden Regional Medical Center-Utah,0.2410969981,0.3504179498,41.150057,-111.946807,No Different than the National Rate,72,87,No Different than National Benchmark,No Different than the National Rate,6.02E-02,74141.48622,10029,113587526,72598969,34861875,8163500,42495257,-55248800,150366151,84857865
No Known Affiliation,Ohio County Hospital-Kentucky,0.1330365974,9.52E-02,37.521307,-86.893564,No Different than the National Rate,75,88,Not Available,No Different than the National Rate,-4.18E-04,49189.82779,741,5874565,3448621,1009667,7247106,9518835,8179403,9606304,2110719
No Known Affiliation,Ojai Valley Community Hospital-California,0.3184931507,0.1553090333,34.518711,-119.271848,No Different than the National Rate,80,93,Not Available,No Different than the National Rate,5.29E-03,100889.993,921,10184769,6188165,1820481,19566171,5652029,20143735,-2247143,-275237
No Known Affiliation,Ok Ctr For Orthopaedic & Multi-Specialty Hospital-Oklahoma,4.37E-03,6.66E-03,35.384693,-97.525911,No Different than the National Rate,89,95,Not Available,No Different than the National Rate,4.61E-02,71024.48856,803,18205857,10745013,7076145,12573001,13058896,46870995,18141824,21081350
No Known Affiliation,Okeene Municipal Hospital-Oklahoma,7.08E-02,1.90E-02,36.10244,-98.328643,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,-1.32E-02,64724.51197,156,1181813,723617,151178,868775,3304410,7553603,2397999,791797
Mercy Health,Oklahoma Heart Hospital South-Oklahoma,0.02677207882,2.37E-02,35.396942,-97.426642,No Different than the National Rate,93,96,No Different than National Benchmark,No Different than the National Rate,4.39E-02,66318.04653,3877,81449277,48945591,25037532,15831891,45034484,64514148,38711212,33612726
Mercy Health,Oklahoma Heart Hospital-Oklahoma,2.53E-02,2.27E-02,35.578954,-97.57416,No Different than the National Rate,96,97,No Different than National Benchmark,No Different than the National Rate,4.29E-02,71105.41568,5972,132396123,78478090,39182266,44574322,49963566,132401874,66764291,42365854
No Known Affiliation,Oklahoma Spine Hospital-Oklahoma,7.36E-03,1.16E-02,35.518606,-97.529908,No Different than the National Rate,88,94,Not Available,No Different than the National Rate,4.16E-02,70294.17942,1965,71225749,44515343,33436615,6340250,16736849,10840250,10034700,15225417
OSUMC,Oklahoma State University Medical Center-Oklahoma,4.70E-02,2.08E-02,36.17574,-96.045094,No Different than the National Rate,65,85,No Different than National Benchmark,No Different than the National Rate,2.30E-02,63232.31997,7291,72730231,36805095,2670308,9848174,35392900,28527597,42699914,14830880
No Known Affiliation,Oklahoma Surgical Hospital-Oklahoma,2.05E-02,3.22E-02,36.020593,-95.929682,No Different than the National Rate,88,94,No Different than National Benchmark,Better than the National Rate,3.31E-02,69665.88615,5201,63418701,40585828,22097115,14277562,26358443,25627421,11095936,39790588
No Known Affiliation,Okmulgee Memorial Hospital Inc.-Oklahoma,0.1098150782,8.80E-02,35.653546,-96.004906,No Different than the National Rate,63,Not Available,No Different than National Benchmark,No Different than the National Rate,3.13E-03,50928.02497,537,3152101,1853009,287126,1761031,-18538863,1987756,-16845054,-10641442
Olathe Health System,Olathe Medical Center Inc.-Kansas,0.3190232095,0.2476829658,38.894154,-94.885931,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,8.65E-02,94827.35836,12142,148648247,91111719,41058352,31753269,48137730,191402424,479942467,26387518
No Known Affiliation,Olympia Medical Center-California,2.93E-02,4.35E-03,34.070364,-118.350101,No Different than the National Rate,49,79,No Different than National Benchmark,No Different than the National Rate,-3.18E-03,77094.0539,5709,57280562,30039992,3613353,18043942,6049942,56573063,3324387,7422124
QHR,Opelousas General Health System-Louisiana,0.3649821975,0.2804428044,30.532986,-92.104643,No Different than the National Rate,63,85,No Different than National Benchmark,No Different than the National Rate,-3.49E-03,51727.15417,7886,77799239,44725792,12499061,12979677,68713942,36864280,99656389,8768764
No Known Affiliation,Optim Medical Center - Tattnall-Georgia,1.95E-02,3.02E-02,32.017608,-82.130641,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,6.99E-02,58340.53274,1810,18946356,11863207,5930385,5845051,20059382,6131648,232417353,37153257
MemorialCare Health System,Orange Coast Memorial Medical Center-California,8.61E-02,0.1098127982,33.710345,-117.951428,No Different than the National Rate,76,90,No Different than National Benchmark,No Different than the National Rate,1.33E-03,93422.49644,13433,162422923,98241430,43457883,43170712,94263287,55630424,155395881,19022388
Integrated Healthcare,Orange County Global Medical Center-California,5.85E-02,2.84E-02,33.756921,-117.814058,No Different than the National Rate,57,84,No Different than National Benchmark,No Different than the National Rate,6.23E-03,92183.32494,8621,101828937,57533804,17917920,31673004,48022077,31673004,20124169,31274805
HCA,Orange Park Medical Center-Florida,0.3670064429,0.2769477589,30.169193,-81.738871,No Different than the National Rate,65,86,No Different than National Benchmark,No Different than the National Rate,8.90E-02,65795.58758,21753,213592948,120299513,30423781,18791943,8520039,716907,101173229,52706982
No Known Affiliation,Orchard Hospital-California,0.1752039152,5.90E-02,39.34346,-121.754277,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,3.94E-02,57868.92683,751,5820994,3401808,523137,2852584,6341259,7313206,4901865,1876581
Intermountain Healthcare,Orem Community Hospital-Utah,6.97E-02,8.39E-02,40.315997,-111.720248,No Different than the National Rate,82,92,Not Available,Not Available,5.43E-02,71273.67435,2216,10529610,6569428,1988644,951491,4417496,1137672,10993145,5021711
Orlando Health Systems,Orlando Health-Florida,8.64E-02,8.73E-02,28.512535,-81.359927,No Different than the National Rate,77,90,No Different than National Benchmark,No Different than the National Rate,9.23E-02,73144.2072,28274,549407980,324133216,155757580,258335697,606490030,1251901688,1274150325,394689013
No Known Affiliation,Oroville Hospital-California,0.7774498955,0.6003898635,39.478465,-121.424306,No Different than the National Rate,48,82,No Different than National Benchmark,No Different than the National Rate,1.99E-02,57048.49169,12532,105712516,55686117,2476772,39152924,78399321,64826982,53652946,20690544
Centura Health,Orthocolorado Hospital-Colorado,1.96E-02,1.79E-02,39.692252,-105.152064,No Different than the National Rate,84,93,Not Available,No Different than the National Rate,4.05E-02,97092.73924,3287,84995772,47908276,31416098,9441537,12635448,61405071,-3754032,23950560
No Known Affiliation,Orthopedic Hospital-Oklahoma,1.90E-03,2.87E-03,35.432279,-97.524508,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,4.78E-02,69716.34536,254,7316648,4480849,3211381,4020053,6751233,10704894,3563732,4466340
No Known Affiliation,Osborne County Memorial Hospital-Kansas,0.5507692308,0.2625,39.370899,-98.716317,No Different than the National Rate,78,Not Available,Not Available,No Different than the National Rate,-4.43E-02,57669.3674,270,1808886,1111747,265369,1194857,1611952,1207899,1619146,-280862
HCA,Osceola Regional Medical Center-Florida,0.361090783,0.2314513073,28.304671,-81.425038,No Different than the National Rate,64,84,No Different than National Benchmark,No Different than the National Rate,0.148429431,57161.75418,25655,234744635,131187092,32826488,21602233,6019127,-120987201,237790739,85437392
No Known Affiliation,Oswego Community Hospital-Kansas,0.1097560976,3.48E-02,37.197193,-95.154392,Not Available,Not Available,Not Available,Not Available,Not Available,-1.39E-02,47244.79383,91,556857,329834,36482,-152715,1045961,664775,3445023,15511
No Known Affiliation,Ottawa County Health Center-Kansas,0.3403361345,8.33E-02,39.14241,-97.660187,No Different than the National Rate,75,Not Available,Not Available,No Different than the National Rate,-1.61E-02,58423.86782,227,1633384,973461,158883,549030,1899697,563762,4686205,123587
No Known Affiliation,Otto Kaiser Memorial Hospital-Texas,0.1271632807,0.1329113924,28.753325,-97.825811,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,-1.66E-02,65238.3766,232,1756572,1166278,481393,7615005,37906375,58952400,32767122,8219645
Baylor Scott & White,Our Childrens House - Children'S Health-Texas,7.98E-04,1.15E-03,32.802033,-96.78901,,,,,,7.92E-02,86027.52362,348,5903486,3748672,1559585,,,,,
Bon Secours,Our Lady Of Bellefonte Hospital-Kentucky,0.3359975595,0.3296364757,38.476195,-82.650334,No Different than the National Rate,77,90,No Different than National Benchmark,No Different than the National Rate,4.74E-05,56265.74237,7535,74400955,43270284,11969523,13734583,89555587,86578575,65161247,24435809
Franciscan Missionaries of Our Lady Health System Inc.,Our Lady Of Lourdes Regional Medical Center-Louisiana,0.1504447933,0.1807948541,30.156529,-92.027489,No Different than the National Rate,80,91,No Different than National Benchmark,No Different than the National Rate,1.97E-02,68084.05608,9491,156051469,97885275,50130960,36200000,75521000,284806000,101448000,-25774231
Catholic Health Initiatives,Our Lady Of Peace-Kentucky,4.89E-02,1.64E-02,38.191357,-85.784321,No Different than the National Rate,66,86,No Different than National Benchmark,No Different than the National Rate,3.77E-02,64508.83021,8685,32829918,18072845,-8499866,385883658,144790385,462745623,81299250,18236675
Franciscan Missionaries of Our Lady Health System Inc.,Our Lady Of The Lake Regional Medical Center-Louisiana,0.3757712354,0.2655423138,30.40576,-91.140923,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,2.31E-02,75196.02016,36167,502805463,293210157,111900633,166034994,302945480,718622365,982826419,32312312
HCA,Overland Park Regional Medical Center-Kansas,0.111464901,0.1372041722,38.956413,-94.743234,No Different than the National Rate,74,90,No Different than National Benchmark,No Different than the National Rate,5.54E-02,93568.76895,14320,159876267,105687433,53567963,12427512,47870707,119760805,302494186,77896381
HCA,Oviedo Medical Center-Florida,1.15E-02,7.31E-03,28.665959,-81.200306,,,,,,8.46E-02,87017.76772,260,2263737,1384262,415120,,,,,
No Known Affiliation,Ozarks Community Hospital - Springfield Mo-Missouri,2.32E-03,8.46E-04,37.285647,-93.290742,,,,,,4.59E-02,51753.27762,117,858159,470046,78662,9758826,13157429,10095355,6810697,7561639
No Known Affiliation,Ozarks Medical Center - West Plains Mo-Missouri,0.5057631855,0.4723275208,36.700172,-91.868136,No Different than the National Rate,63,88,No Different than National Benchmark,No Different than the National Rate,2.18E-02,46379.76016,5913,45512263,24755972,2423421,28019514,51393746,52735705,67421020,14709250
No Known Affiliation,Pacific Alliance Medical Center-California,2.65E-02,5.71E-03,34.066178,-118.238713,No Different than the National Rate,62,85,No Different than National Benchmark,No Different than the National Rate,-1.02E-02,57248.12337,8969,44784588,19237729,-8084185,56131358,338739928,67735787,332006160,359798333
No Known Affiliation,Pacific Grove Hospital-California,2.78E-03,5.49E-03,33.933633,-117.362895,,,,,,8.42E-02,80211.75119,1280,7514608,5293570,1336827,318864,1087526,1106190,7781837,867090
No Known Affiliation,Pacifica Hospital Of The Valley-California,2.19E-02,5.94E-03,34.230333,-118.353737,No Different than the National Rate,58,83,Not Available,No Different than the National Rate,1.10E-02,66830.5935,4967,25896998,12922004,-4148195,47849604,30108443,83028629,-27545769,1248020
Valley Health,Page Memorial Hospital-Virginia,0.2297379647,0.1394148021,38.672743,-78.455702,No Different than the National Rate,71,89,Not Available,No Different than the National Rate,2.76E-02,66066.7569,577,5054399,3281379,1183988,1003951,7364416,35483951,17753311,-397395
No Known Affiliation,Pagosa Mountain Hospital-Colorado,0.3341523342,0.251497006,37.181947,-106.998563,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,0.1048698573,72238.03063,428,3540279,2091763,722072,6858832,12258123,20008292,5728819,3898298
LifePoint,Palestine Regional Medical Center-Texas,0.3876803027,0.3248081841,31.736975,-95.548579,No Different than the National Rate,57,84,Not Available,No Different than the National Rate,1.97E-02,60467.75233,4507,29378181,15840404,671122,4328055,17508452,-46820583,104924282,7349419
Health First,Palm Bay Hospital-Florida,0.2914207275,0.2023706273,28.017858,-80.70105,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,9.08E-02,55884.75442,6243,60480471,34662603,9171385,21916290,48142719,82551504,35975097,13842777
Tenet,Palm Beach Gardens Medical Center-Florida,0.1501872427,0.1125110344,26.847645,-80.087596,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,9.13E-02,89653.0003,9927,138159054,79753040,32291151,24035602,38194065,70746089,153549193,28731214
Universal Health Services Inc.,Palmdale Regional Medical Center-California,0.1883165594,0.1074466845,34.595591,-118.222964,No Different than the National Rate,76,91,No Different than National Benchmark,No Different than the National Rate,7.18E-02,75063.94229,8540,91257175,51034046,13385111,11189380,29222035,318190022,-63869973,22545681
Palmetto Health System,Palmetto Baptist (Columbia) Medical Ctr-South Carolina,0.200232432,0.214089158,33.985178,-81.028732,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,7.80E-02,72666.97718,17631,175599397,101796827,38400512,9335792,114711702,9335792,214563531,36076676
Palmetto Health System,Palmetto Baptist (Easley) Medical Ctr-South Carolina,0.2331218142,0.170558799,34.887969,-82.576549,No Different than the National Rate,70,90,Not Available,No Different than the National Rate,3.76E-02,61487.14211,3489,29014719,16423494,3174949,20296236,29209781,20296236,50630045,4617125
Tenet,Palmetto General Hospital-Florida,0.2081894832,0.1849130174,25.894588,-80.332382,No Different than the National Rate,59,82,No Different than National Benchmark,No Different than the National Rate,0.01456743765,51450.47945,20609,200459030,110987892,26216279,28999243,52475693,31814571,254604325,31628345
Palmetto Health System,Palmetto Health Parkridge-South Carolina,7.24E-02,9.54E-02,34.078903,-81.196384,No Different than the National Rate,86,92,Not Available,No Different than the National Rate,8.46E-02,75200.09168,5013,54088343,31651526,12817549,3050692,22415733,3050692,179321719,27245852
Universal Health Services Inc.,Palmetto Lowcountry Behav Hlth-South Carolina,1.39E-02,7.53E-03,32.851825,-79.980186,,,,,,9.45E-02,71595.22313,2811,13212987,7864633,-1618409,,,,,
Palmetto Health System,Palmetto Richland Memorial-South Carolina,0.251017068,0.2312738232,34.10457,-81.045378,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,7.07E-02,70544.86075,29130,412959129,235038820,88360266,16312831,159392705,35091297,363108456,-14160574
HCA,Palms Of Pasadena Hospital-Florida,6.84E-02,4.69E-02,27.756643,-82.721383,No Different than the National Rate,62,86,No Different than National Benchmark,No Different than the National Rate,-3.80E-03,64564.16132,5389,64013742,37714981,13342064,7306579,15118735,163045361,-2444026,10328760
HCA,Palms West Hospital-Florida,0.2000465183,0.2222296753,26.783444,-80.441953,No Different than the National Rate,69,87,No Different than National Benchmark,No Different than the National Rate,8.06E-02,71978.69428,15450,129698736,77823338,25519848,13567013,27690780,-155431460,244938281,43839268
No Known Affiliation,Palo Pinto General Hospital-Texas,1.36E-02,1.71E-02,32.793858,-98.125909,No Different than the National Rate,65,88,No Different than National Benchmark,No Different than the National Rate,-6.63E-03,60625.08473,1590,9873661,5203518,241311,5127825,21485869,8004173,33343366,7275201
Palomar Health,Palomar Health Downtown Campus-California,0.323353386,0.2699005556,33.084463,-117.028177,No Different than the National Rate,80,91,No Different than National Benchmark,No Different than the National Rate,2.80E-02,99056.34943,28109,334838038,202904116,84806405,2172366743,1425763382,2172760158,240462334,102416244
Prime Healthcare Services,Pampa Regional Medical Center-Texas,0.3670707071,0.1861986913,35.422674,-100.834962,No Different than the National Rate,65,89,Not Available,No Different than the National Rate,-1.74E-02,62258.97985,2544,24104023,13883090,3854644,4292071,11693483,5293974,61067246,2885098
Prime Healthcare Services,Paradise Valley Hospital-California,8.73E-02,3.55E-02,32.668259,-117.091814,No Different than the National Rate,58,85,No Different than National Benchmark,No Different than the National Rate,5.62E-03,69946.94803,11678,76582541,42005637,-1507440,33533564,39942673,86268111,-14206974,-483287
CHRISTUS Health,Paris Regional Medical Center-Texas,7.98E-02,8.36E-02,33.637412,-95.606385,No Different than the National Rate,60,85,No Different than National Benchmark,No Different than the National Rate,-1.84E-03,53858.37746,7938,84786635,49051611,15676601,10652647,27417143,169107696,53897962,27352213
Tenet,Park Plaza Hospital And Medical Center-Texas,9.69E-03,7.36E-03,29.725332,-95.363619,No Different than the National Rate,67,85,Not Available,No Different than the National Rate,5.17E-02,80886.85646,3446,44723597,26989989,11484913,8379512,17593223,8557921,40396841,10826950
Acadia Healthcare,Park Royal Hospital-Florida,2.69E-02,2.46E-02,26.491684,-81.915821,,,,,,0.1257735594,69840.42724,4088,21220120,12940216,-1189540,1279850,3988003,24977428,2055903,4344262
Centura Health,Parker Adventist-Colorado,0.1417526347,0.1525210296,39.515864,-104.66673,No Different than the National Rate,79,91,No Different than National Benchmark,No Different than the National Rate,0.1104691947,112117.6157,8650,127904356,80875176,43185180,29858118,113125080,85507609,207128518,54160600
BJC HealthCare,Parkland Health Center -- Bonne Terre - Bonne Terre Mo-Missouri,5.11E-04,0,37.935119,-90.509512,Not Available,Not Available,Not Available,Not Available,Not Available,1.85E-02,61996.40144,22,77131,38729,-21145,7250751,10316280,7334751,30036330,1954596
BJC HealthCare,Parkland Health Center -- Farmington - Farmington Mo-Missouri,0.2646207737,0.1955892986,37.751329,-90.369275,No Different than the National Rate,63,85,Not Available,No Different than the National Rate,3.24E-02,52822.62984,4828,34272119,18977197,2195915,7250751,10316280,7334751,30036330,7584181
County,Parkland Memorial Hospital-Texas,0.1835958465,3.09E-02,32.831495,-96.847885,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,5.94E-03,61711.0068,53004,368190025,164905510,-32386734,226732726,266931334,1314878540,856169481,100809925
